genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
Comedy,es,MX,2018-06-08,66,Franco Escamilla: por la anécdota,,2018,>2010
"Crime, Drama",en,,1992-10-17,583,The Godfather Trilogy: 1901-1980,,1992,1990-2000
"Drama, Crime",en,US,1972-03-14,175,The Godfather,"Paramount, Alfran Productions",1972,1970-1990
"Drama, Crime",en,US,1994-09-23,142,The Shawshank Redemption,Castle Rock Entertainment,1994,1990-2000
"Drama, Fantasy",es,MX,1960-05-09,91,Macario,Clasa Films Mundiales,1960,1950-1970
"Comedy, Fantasy",es,,2022-09-14,115,Cuando Sea Joven,Lionsgate,2022,>2010
Comedy,es,,2019-04-17,54,Franco Escamilla: bienvenido al mundo,,2019,>2010
"Drama, Crime",en,US,1974-12-20,202,The Godfather Part II,"Paramount, The Coppola Company",1974,1970-1990
"Animation, Comedy, Romance",ja,JP,2022-05-20,136,The Quintessential Quintuplets Movie,"DAX Production, Pony Canyon, Nichion, Bibury Animation Studios, Nippon BS Broadcasting, GYAO, Kodansha, Good Smile Film, Bushiroad, MAGNET",2022,>2010
"Drama, History, War",en,US,1993-12-15,195,Schindler's List,Amblin Entertainment,1993,1990-2000
"Comedy, Drama, Romance",hi,IN,1995-10-19,190,Dilwale Dulhania Le Jayenge,Yash Raj Films,1995,1990-2000
"Animation, Family, Fantasy",ja,JP,2001-07-20,125,Spirited Away,Studio Ghibli,2001,2000-2010
"Animation, Comedy, Romance",ja,JP,2022-06-10,73,Teasing Master Takagi-san: The Movie,"Shin-Ei Animation, TOHO, Asmik Ace, Shogakukan, Shogakukan-Shueisha Productions",2022,>2010
Drama,en,US,1957-04-10,97,12 Angry Men,"United Artists, Orion-Nova Productions",1957,1950-1970
"Romance, Animation, Drama",ja,JP,2016-08-26,106,Your Name.,"CoMix Wave Films, TOHO, KADOKAWA, East Japan Marketing & Communications, AMUSE, voque ting, Lawson Entertainment, 4Kids Entertainment",2016,>2010
"Music, Drama, Romance",en,GB,2011-09-27,160,The Phantom of the Opera at the Royal Albert Hall,"Universal Pictures, The Really Useful Group",2011,>2010
"Comedy, Thriller, Drama",ko,KR,2019-05-30,133,Parasite,Barunson E&A,2019,>2010
"Drama, Action, Crime, Thriller",en,"GB, US",2008-07-14,152,The Dark Knight,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures",2008,2000-2010
"Fantasy, Drama, Crime",en,US,1999-12-10,189,The Green Mile,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures",1999,1990-2000
"Romance, Drama",ja,JP,2020-10-23,123,Your Eyes Tell,"Dragonfly Entertainment, AMUSE, Lawson Entertainment, GAGA Corporation",2020,>2010
"Thriller, Crime",en,US,1994-09-10,154,Pulp Fiction,"Miramax, A Band Apart, Jersey Films",1994,1990-2000
"Comedy, Drama, Romance",en,US,1994-06-23,142,Forrest Gump,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",1994,1990-2000
"Adventure, Fantasy, Action",en,"NZ, US",2003-12-01,201,The Lord of the Rings: The Return of the King,"New Line Cinema, WingNut Films, The Saul Zaentz Company",2003,2000-2010
"Animation, Family, Adventure, Fantasy",en,"GB, US",2022-12-25,34,"The Boy, the Mole, the Fox and the Horse","NoneMore Productions, Bad Robot, BBC",2022,>2010
"Romance, Animation",ja,JP,2016-02-20,61,Dou kyu sei – Classmates,"A-1 Pictures, Aniplex",2016,>2010
"Drama, Crime",en,US,1990-09-12,145,GoodFellas,Winkler Films,1990,1990-2000
"Action, Adventure, Animation, Drama",en,US,2019-11-21,85,Primal: Tales of Savagery,"Cartoon Network Studios, Williams Street",2019,>2010
"Action, Drama",ja,JP,1954-04-26,207,Seven Samurai,TOHO,1954,1950-1970
"Drama, Romance",it,"FR, IT",1988-11-17,124,Cinema Paradiso,"Les Films Ariane, Cristaldifilm, RAI, TF1 Films Production, Forum Picture",1988,1970-1990
