periode,primaryName,count,primaryTitle
<1950,Vaughn Taylor,9,"Psycho, The Gumball Rally, Cat on a Hot Tin Roof, The Ballad of Cable Hogue, Any Last Words?, The Long Ride Home, Another World, Days of Our Lives, The Local 504"
<1950,Vinton Hayworth,8,"Broadway Television Theatre, Hazel, China Passage, Batman"
<1950,Mary Sinclair,7,"Studio One, Tales of Tomorrow, Lights Out, One Step Beyond, Tales of the Unexpected, Winners, Fallen Together, Red Rose, A Sense of Loss"
<1950,Robert H. Harris,7,"How to Make a Monster, Valley of the Dolls, Bundle of Joy, Apache Uprising"
<1950,Ruth McDevitt,7,"The Birds, The Parent Trap, Kolchak: The Night Stalker, Dear Heart"
1950-1970,Don Messick,125,"The Last Unicorn, Tiny Toon Adventures: How I Spent My Vacation, The Jetsons, Scooby Doo, Where Are You!"
1950-1970,Paul Frees,100,"The War of the Worlds, The Last Unicorn, The Beatniks, The Bullwinkle Show"
1950-1970,Daws Butler,85,"""Hey There, Its Yogi Bear"", The Jetsons, Time for Beany, Cars 3"
1950-1970,Hal Smith,81,"The Great Race, The Many Adventures of Winnie the Pooh, The Andy Griffith Show, Fantastic Planet, AFL on ABC, The Host, The Maze Runner, Dark Places, The Bleeding Diamond, ""Professor Hancocks Orchestra"", Rash, Lehenga, Cold Water, Five Times, ""Perry Comos Kraft Music Hall"", 1960 World Series"
1950-1970,Mel Blanc,70,"Who Framed Roger Rabbit, ""Daffy Ducks Quackbusters"", The Bugs Bunny/Road-Runner Movie, Buck Rogers in the 25th Century"
1970-1990,Frank Welker,229,"Transformers: Dark of the Moon, Mortal Kombat, Transformers: Age of Extinction, Transformers: The Last Knight, Fakt ist...!, ""TiVos Music Party"", Pain Secrets: The Science of Everyday Pain"
1970-1990,Don Messick,111,"The Last Unicorn, Tiny Toon Adventures: How I Spent My Vacation, The Jetsons, Scooby Doo, Where Are You!"
1970-1990,John Stephenson,96,"""Charlottes Web"", The Transformers, Bionic Six, The Flintstones in Viva Rock Vegas, Interlude in Prague, Five Children and It, Animal Farm, Babe, In the Land of Merry Misfits, Date Less, Brief Encounter, Visions of Ecstasy, Paradiso, Father of the Year, Un jour de paix en Angleterre: Demain, peut-être..., Edmonds, Croak, Boy, One-Life Stand, Anastasia, Lego Harry Potter: Years 5-7, Forgotten Man, Ghost Adventures, 12 Hours to Live, NOS4A2, Shutterbug, The Curse of Lizzie Borden 2: Prom Night, The Great Egg Race, Once Bitten, Cybermutt, Inside Death Row with Trevor McDonald, The Tonight Show with Jay Leno, Forty Minutes, Dispatches, The Man Who Made Beamish, The Far-Off Hills, Will Power, The Curse of the Gorgon, Infinitely Polar Bear, ""Draw the Line: An Animators Showcase"", Camp Med"
1970-1990,Peter Cullen,96,"Transformers: Dark of the Moon, Transformers: Age of Extinction, Transformers: The Last Knight, Transformers, Joey & Dad, Australian Story, Landline, A Not So Hollow Halloween!, Couples Retreat, Pervitin, In Bloom, In Limbo, Rock Island Mysteries, Designing Christmas with You, 20/20, Losing Lennon: Countdown to Murder, I Killed John Lennon, Difference of Opinion, Cul de sac of Shattered Hopes... the Movie, Tool Academy, The Nutcracker, Diamond in a Box: A Love Story, My Friends Tigger and Pooh Super Sleuth Christmas Movie: 100 Acre Wood Downhill Challenge, ""Showscans the Edge"""
1970-1990,Alan Oppenheimer,90,"Westworld, 9, He-Man and the Masters of the Universe, ""Chip n Dale: Rescue Rangers"""
1990-2000,Frank Welker,146,"Transformers: Dark of the Moon, Mortal Kombat, Transformers: Age of Extinction, Transformers: The Last Knight, Fakt ist...!, ""TiVos Music Party"", Pain Secrets: The Science of Everyday Pain"
1990-2000,Jim Cummings,123,"Winnie the Pooh, Christopher Robin, The Princess and the Frog, Aladdin, Shark Week, Jaws Awakens: Legend of Phred, Battle Chess: Game of Kings, Biography: WWE Legends, 2018 en 365 secondes, Star Trek Phase II, 30,000 Leagues Under the Sea, Thunder Road, The Wolf of Snow Hollow, The Beta Test, Halloween Kills, The Indestructibles, Impact: Stories of Survival, Wade, Too Perfect, Fish Mich, Bone Hill, Raunch and Roll, Among Us 2, One Direction: All for One, Homes & Lifestyles Canada, The Ultimate Hockey Show"
1990-2000,Jeff Bennett,107,"Enchanted, Johnny Bravo, The Penguins of Madagascar, Secret of the Wings, I NEED MORE: The Story of Daquann W. Harrison, Delusions of Grandeur, Rocky the Adventure Dog, Vanilla: Impossible, The People vs. Alan Winston, In Our Community, In Camera, The Apparatik, Noam Chomsky: Rebel Without a Pause, Where Are You, Jay Bennett?, The DNA of Murder with Paul Holes, Evil Lives Here: Shadows of Death, On the Case with Paula Zahn, Bloodline Detectives, Murder by Association, 12 Till Dawn, Eating Each Other, Unnatural, Thomas Green Clemson: A Life and a Legacy, Friday the 13th: The New Blood, Cohen and Tate, Heartbeat, Married... with Children, Swede Caroline, The Regiment, EastEnders, Emmerdale Farm, Weird Science Whatever, Honeymoon Riot, The Compass, The Howie Mandel Show, The Room, The Afterlife, Settling Down, Invisible Ghost Fighter, Pants, G.H.N.R., Distant Aidenn, At Home, Southern Style, Prepper, ""Billys Hollywood Screen Kiss"""
1990-2000,Kath Soucie,100,"Rugrats, Zootopia, Futurama, Space Jam"
1990-2000,Rob Paulsen,94,"Animaniacs, Pinky and the Brain, Teenage Mutant Ninja Turtles, Animaniacs"
2000-2010,Grey Griffin,126,"Batman: Arkham City, Injustice: Gods Among Us, Transformers: Revenge of the Fallen, When Marnie Was There"
2000-2010,Tom Kenny,117,"SpongeBob SquarePants, The SpongeBob Movie: Sponge Out of Water, Transformers: Dark of the Moon, Transformers: Revenge of the Fallen, Maude, ""The Ken Berry Wow Show"", The Jonathan Winters Show, Food Paradise, The Red Skelton Hour, ""The Sound of No Time to Die"", Adiboo: Adventure! Objective Earth!, In the Attic with Pete Townshend & Friends, Spectacle: Elvis Costello with..., The Fantasist, Great Performances, Social Gloves: Battle of the Platforms, The Detail, Twitchy"
2000-2010,Jeff Bennett,112,"Enchanted, Johnny Bravo, The Penguins of Madagascar, Secret of the Wings, I NEED MORE: The Story of Daquann W. Harrison, Delusions of Grandeur, Rocky the Adventure Dog, Vanilla: Impossible, The People vs. Alan Winston, In Our Community, In Camera, The Apparatik, Noam Chomsky: Rebel Without a Pause, Where Are You, Jay Bennett?, The DNA of Murder with Paul Holes, Evil Lives Here: Shadows of Death, On the Case with Paula Zahn, Bloodline Detectives, Murder by Association, 12 Till Dawn, Eating Each Other, Unnatural, Thomas Green Clemson: A Life and a Legacy, Friday the 13th: The New Blood, Cohen and Tate, Heartbeat, Married... with Children, Swede Caroline, The Regiment, EastEnders, Emmerdale Farm, Weird Science Whatever, Honeymoon Riot, The Compass, The Howie Mandel Show, The Room, The Afterlife, Settling Down, Invisible Ghost Fighter, Pants, G.H.N.R., Distant Aidenn, At Home, Southern Style, Prepper, ""Billys Hollywood Screen Kiss"""
